"","Click","variable","value","Click","variable","value"
"155",55,"Mid",0.0218309180283678,55,"Mid",0.0221466579908782
"156",56,"Mid",0.0267187575685855,56,"Mid",0.0253708995248026
"157",57,"Mid",0.0356462759313658,57,"Mid",0.0284491100702716
"158",58,"Mid",0.0334145594466797,58,"Mid",0.0306500562892156
"159",59,"Mid",0.0179523624850061,59,"Mid",0.0273386169423605
"160",60,"Mid",0.00868895820321032,60,"Mid",0.0231292412099773
"161",61,"Mid",0.012037151899915,61,"Mid",0.00671995180000518
"162",62,"Mid",0.0136913688271127,62,"Mid",0.00993151069253966
"163",63,"Mid",0.0232864078627322,63,"Mid",0.0133474166954392
"164",64,"Mid",0.0105393377359456,64,"Mid",0.018426724702857
"165",65,"Mid",0.00998282906434779,65,"Mid",0.05730663032873
"166",66,"Mid",0.0130831396484953,66,"Mid",0.0467653042891989
"167",67,"Mid",0.0105132338870935,67,"Mid",0.0324747253738729
"168",68,"Mid",0.00813708734122645,68,"Mid",0.0244342950768891
"169",69,"Mid",0.00157869071927149,69,"Mid",0.0240182602605328
"170",70,"Mid",0.0179775412744968,70,"Mid",0.0590569719659008
"171",71,"Mid",0.0119396955165438,71,"Mid",0.0362788596098529
"172",72,"Mid",0.0243266716986178,72,"Mid",0.0577231613566258
"173",73,"Mid",0.00448450029821499,73,"Mid",0.0356025752369001
"174",74,"Mid",0.0100797459892653,74,"Mid",0.0145609531477627
"175",75,"Mid",0.00398000306539876,75,"Mid",0.0331236180902329
"176",76,"Mid",0.0107567714469407,76,"Mid",0.0354985583825421
"177",77,"Mid",0.0109770553734575,77,"Mid",0.0229497882457258
"178",78,"Mid",0.0113720772032758,78,"Mid",0.0221345646244871
"179",79,"Mid",0.0277998275695106,79,"Mid",0.0443208395076393
"180",80,"Mid",0.0102730521266917,80,"Mid",0.0230242761731514
"181",81,"Mid",0.0230605934736108,81,"Mid",0.00150163259726577
"182",82,"Mid",0.0304493169830999,82,"Mid",0.022672020047143
"183",83,"Mid",0.0236762128164943,83,"Mid",0.0272341410537718
"184",84,"Mid",0.0355069287698587,84,"Mid",0.0337903160609869
"185",85,"Mid",0.023105350438294,85,"Mid",0.0127491651434745
"186",86,"Mid",0.0103041844401421,86,"Mid",0.00122033558613588
"187",87,"Mid",0.00227067043738379,87,"Mid",0.000906657424916101
"188",88,"Mid",0.0136175810922021,88,"Mid",0.000892205713939281
