IND,M1mu11,M2mu11
170,2.89839738,3.115054273
171,2.89559223,3.078088132
172,2.89356284,3.069624724
173,2.89619559,3.098485344
174,2.8642693,3.073149126
175,2.88375718,3.085424001
176,2.90877674,3.100622944
177,2.89333042,3.056131639
178,2.89112955,3.115627563
179,2.8809134,2.966931061
180,2.88095691,2.926198133
181,2.90084536,3.09081887
182,2.89496336,3.12421002
183,2.86775739,3.098714911
184,2.85252148,3.103714094
185,2.80797593,3.10705303
186,2.91543409,3.110104242
187,2.87710012,3.06256299
188,2.89544002,3.104287373
189,2.92054388,3.081643555
190,2.88407203,3.072837656
191,2.8936244,3.073833291
192,2.91719978,3.113490447
193,2.87445356,3.072529039
194,2.90337423,3.071935134
195,2.84563219,3.160840191
196,2.88616551,3.087050645
197,2.89911643,3.090886487
198,2.88499053,3.093200678
199,2.87920512,3.147102353
200,2.89537307,3.021353447
201,2.93094054,3.073398645
202,2.89649287,2.951789154
203,2.89230365,3.050964732
204,2.8836875,3.072740552
205,2.87253953,3.092717458
206,2.93553043,3.032733689
207,2.88020645,3.059011242
208,2.86586147,3.088157475
209,2.8857715,3.113649498
210,2.86139164,3.078846029
211,2.89611753,3.089403136
212,2.86655864,2.979841925
213,2.89792991,3.080269486
214,2.86759425,3.111792347
215,2.85811848,2.955445543
216,2.90047305,3.161863434
217,2.90090801,3.089908288
218,2.88270225,3.121234632
219,2.89892565,3.074037585
220,2.89555881,3.130970727
221,2.89082846,3.073696687
222,2.90103239,3.086844824
223,2.9194814,3.078997107
224,2.92330332,3.115154186
225,2.9098067,3.026009094
226,2.89949977,3.083156693
227,2.87989853,3.109538681
228,2.86116381,3.068913325
229,2.89736006,3.065413781
230,2.91447752,3.108133785
231,2.87670019,3.080224706
232,2.88519634,3.056658724
233,2.78452521,3.054547186
234,2.8966485,3.091424459
235,2.88818979,3.08885834
236,2.92360241,3.063376403
237,2.88321636,3.091678224
238,2.85826763,3.079880177
239,2.89727674,3.138762506
240,2.86592952,3.098047987
241,2.8807767,3.045740888
242,2.88232942,3.100862467
243,2.91667664,3.115365222
244,2.90468832,3.083492461
245,2.87768081,3.069091051
246,2.87068008,3.074831765
247,2.90443973,3.092322374
248,2.90901413,3.08248364
249,2.86488117,3.058120084
250,2.90250382,2.919072959
251,2.80472963,3.087307847
252,2.90391867,3.060102291
253,2.9111505,3.198514026
254,2.86312537,3.057580456
255,2.90445045,3.058448949
256,2.88573273,3.051773252
257,2.928238,3.070791658
258,2.81167605,3.113001961
259,2.88563989,2.915940927
260,2.89215482,3.069827304
261,2.89168822,3.124756778
262,2.90985374,3.094716179
263,2.88651321,3.077249876
264,2.87705887,3.121759643
265,2.88660151,3.065316465
266,2.88372076,3.092059863
267,2.89964546,3.013373669
268,2.87031983,3.110487364
269,2.87961582,3.084047133
270,2.88505897,3.100751911
271,2.89970854,3.079291764
272,2.8800176,3.096019759
273,2.91779583,3.121120128
274,2.89590281,3.040221342
275,2.88140048,3.081554878
276,2.92464873,3.053396355
277,2.79794549,3.136633909
278,2.89091713,3.047935176
279,2.89794302,3.096655078
280,2.893531,3.06777961
281,2.88063194,3.136799081
282,2.89774128,3.043557375
283,2.91858035,3.108833938
284,2.89959463,3.099017375
285,2.90483377,3.096555749
286,2.87151364,3.10694694
287,2.79317281,3.009213749
288,2.8694776,3.125198933
289,2.88767745,3.077054039
290,2.91964503,3.085468898
291,2.7925477,2.882901416
292,2.92164042,2.983079797
293,2.88634948,3.056856385
294,2.89047984,3.072630624
295,2.88272239,2.964699929
296,2.85436729,3.083025681
297,2.86807539,3.046412204
298,2.87175644,3.054574676
299,2.89331988,2.944954604
300,2.89259966,3.07457755
301,2.94185247,3.090777799
302,2.91206977,3.081489963
303,2.83715044,3.075129697
304,2.89182567,3.065523075
305,2.87512219,3.100030444
306,2.89401707,3.093867138
307,2.89668165,3.069079656
308,2.90510091,3.070389635
309,2.82417019,3.08305648
310,2.89321668,3.022770283
311,2.87219776,3.083948985
312,2.90278225,3.095737394
313,2.88447172,3.076746326
314,2.8829647,3.091112496
315,2.88961175,3.11183327
316,2.88178181,2.94155864
317,2.89705263,3.072209411
318,2.89833176,3.095568984
319,2.87246718,3.059080311
320,2.91133222,3.054538339
321,2.88288519,3.059720658
322,2.90322071,3.076956359
323,2.87722356,3.127266347
324,2.86528599,3.074118716
325,2.87509171,3.091371898
326,2.79707297,3.106417128
327,2.87889545,3.119869446
328,2.8769609,3.009536291
329,2.88140824,3.104218432
330,2.88445658,3.094328483
331,2.87703552,3.079177656
332,2.90368587,3.060368077
333,2.8764351,3.079370806
334,2.86535456,3.062379455
335,2.88438891,3.11980854
336,2.86381884,3.053980754
337,2.89920997,3.087711365
338,2.88749507,3.130025134
339,2.89191217,3.084895525
340,2.90307434,3.107303702
341,2.86299804,3.080531539
342,2.87419981,3.104542907
343,2.89853502,3.055448072
344,2.86695301,3.083294038
345,2.8877726,2.922320123
346,2.91557331,3.088760335
347,2.82215463,2.954705543
348,2.88948278,3.093768077
349,2.91117462,3.098477696
350,2.89408809,3.045270718
351,2.91451575,3.08411073
352,2.88579173,3.082705876
353,2.88039771,3.066338244
354,2.89401638,3.065100289
355,2.90522427,3.097955297
