survey_time_spent,survey_user_id,bonus_unclear,bonus_unclear_open,bcq_bonus_received,web_satisf,att_check,att_check_6_TEXT,web_recommend,lk_buy_cellphone,employment_status,employment_status_7_TEXT,gender,Mobile
109,labW2SW8u.OUHFOQM3L60hBVPyvLO7aX,1,Not clear as to whether it was a real store or not,3,4,6,YES,4,1,8,,3,1
131,Quh..bG3I19ZDpq8Jq1M9pC3QPM2JTaQ,2,,2,6,6,Yes,7,7,7,Long term disabled/kept wife (luckily) for now,2,1
88,wD9Xjf~1_6c_-Dsmd6z.aK470YkrQlkH,2,,2,6,6,Yes,5,5,1,,1,0
90,uuUFCF9BAXe34-NkydKNPQ6pVS4_bH3X,2,,2,5,6,Yes,5,6,1,,2,1
109,Baa2Uf4jdyZGH4Ax2.YghrxWCXmrvc87,2,,2,6,6,Yes,5,1,7,Disabled and cannot work,2,0
92,TYX-zPF6o_xeEz~f_7zyy2qDPmO4wa1~,2,,2,6,6,Yes,1,2,1,,2,0
106,pnE4qgG59ZMSpqS_3wX5S88lJpYdVkYC,2,,1,5,6,Yes,2,7,4,,1,1
74,NcDTeNTbl_NHniNQyKMXtIz8fHHK.bPW,2,,2,6,6,Yes,6,2,1,,2,0
99,xqxX6Kvf7i9gueaj2Ap.aZ9gDW9oHb~7,2,,2,5,6,Yes,5,1,1,,2,0
94,sHa._voI.JYgM5UeXIlc5XC2dTvl_Vm4,2,,2,5,6,Yes,4,6,1,,2,1
367,DMHlXAluWqTiv8-1D-ck6MrfV6R1tLbE,2,,2,6,6,yes,6,5,1,,1,0
92,lY6k_ERMqp1xh~U-zXYwOoEAielH88j9,2,,2,6,6,Yes,6,2,1,,2,1
106,Li30R2-5IGycSKA1JEdx7uSCN3IGyJ5s,2,,2,5,6,yes,4,5,1,,1,0
114,PpD2KdWLI16MY8ilWV~8Pi~u17SgHSya,2,,2,6,6,yes,6,1,7,unable to work,2,0
139,Szqd9NQtbaVdU-tow2wjgBkoZ~kHx6xo,2,,2,4,6,Yes,3,4,1,,2,1
91,8Hspy~KzO1NL5MSaSnvDk9pB8~zjx1ia,2,,2,3,6,Yes,2,1,1,,2,1
108,hCBD7yxgVYZ1CcnAo0mtdOCU-Cl3vxkt,2,,1,6,6,Yes,6,3,3,,2,1
103,LV6ScO~7s4M~8DtZckm079iUluaGNqA0,2,,2,6,6,Yes,3,6,1,,2,0
82,OwMQfp_v.-wQPVwn3a-xVSIIuo95_tOD,2,,2,6,6,Yes,4,6,1,,2,0
70,clIr5k70m19_H0KvNwn~PFYoQqpUEkvO,2,,2,5,6,Yes,4,5,1,,2,0
136,wr.KWcfeuwW1Y_EzvhujL4GjPUKpFsxD,2,,2,4,6,Yes,4,5,5,,2,1
177,jsNM.3mmKiYS3~Cibs.3HOY.wZNodlaG,2,,2,6,6,Yes,6,7,1,,2,0
112,BwqyyBtrMqFJL.ARoHsYo2HA6A_RjpG4,2,,2,6,6,Yes ,6,7,3,,2,0
153,6PpeIqHZDdN2DGBgLn5WtAJOm2.jTHue,2,,2,6,6,yes,6,7,1,,2,0
91,YL1U1dFAGQXRyKNf0BnqndAociSu9N~g,2,,2,5,6,Yes,4,5,1,,2,1
85,KW--5H6Xlt5YlJ~M5JC1j16~H8Pw5W3Q,2,,2,6,6,Yes,5,6,1,,2,0
77,xtZaYP1Y3QTqtrE9rnahG9aSPzQxLDRK,2,,2,6,6,Yes,5,3,2,,1,0
75,njvDGNJT3VPOzCXZN98zxPWLdQ-9TsKd,2,,2,5,6,Yes,4,4,1,,1,0
129,VFa9sM3jU5-KvaA7zNLHjCXbcnNXB50A,2,,2,6,6,Yes,5,5,5,,1,1
67,A9zMAdw-l~CWw6.zMe-dWI4R3lpAoOde,2,,2,6,6,Yes,6,2,1,,1,0
104,acG_~t8~HYqWT4XzT_CtKd17wDTj9-.d,2,,2,6,6,Yes,5,5,3,,2,1
96,h.1MGU6boMIThx-xfjc_v.XT2wFPUBvQ,2,,2,6,6,Yes,5,6,1,,2,1
87,ZTEQ6fXANR-4sn0DXIhrVV~8k6m5nxv9,2,,2,6,6,Yes,5,3,3,,2,0
99,4L6BtxM.ADbCwtjKyK9OodfJ~LQEMUD4,2,,2,5,6,Yes,5,6,1,,2,1
111,OtelnOjZ0c6k4MoPkt-sFG5kRm2ryEDT,2,,2,5,6,Yes,5,5,8,,2,0
120,i3.vYs_1LTxxp-xl2KKpfyoYKmf3eIfB,2,,2,6,6,Yes,5,6,7,,2,1
73,abCWvSR3UfJa7oaf_PLgv8CbPS5AwHJc,2,,2,5,6,Yes,4,5,1,,1,0
